,bldCode,doorIndex,bldCodeDoorIndex,ProjNumber,aprtmentSize,yearsInBldg,age,lowDiscount,highDiscount,noDiscount,income,rent,own,agentID,prjectType,tic,status,Floors,MainCost,cityTax,CostForStaying,ratioCostForStaying,reason_leave,mortgage,rentPrice,bld_status
39,210_19_a,20,210_19_a_20,20180988,82,14,25,0,0,1,14041.0,1,0,2a6d0840-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.0545018161099636,Rent,0,0.0,Construction
40,210_19_a,1,210_19_a_1,20180988,82,32,21,0,1,0,5145.0,0,1,2a6d0426-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.1487385811467444,Burden,0,0.0,Building after
41,210_19_a,2,210_19_a_2,20180988,82,30,69,0,0,1,13088.0,0,1,2a6d04ee-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.0584703545232273,Age,0,0.0,Building after
42,210_19_a,3,210_19_a_3,20180988,82,16,40,0,0,1,15361.0,0,1,2a6d052a-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.0498183711997916,,0,0.0,Building after
43,210_19_a,4,210_19_a_4,20180988,82,6,18,0,1,0,5428.0,0,1,2a6d0566-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.1409837877671334,Burden,0,0.0,Building after
44,210_19_a,5,210_19_a_5,20180988,82,17,63,0,0,1,12282.0,1,0,2a6d058e-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.0623074417847256,Rent,0,0.0,Building after
45,210_19_a,6,210_19_a_6,20180988,82,25,79,0,1,0,6320.0,1,0,2a6d05c0-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.1210854430379747,Age,0,0.0,Building after
46,210_19_a,7,210_19_a_7,20180988,82,9,23,1,0,0,7000.0,0,1,2a6d05e8-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.1093228571428571,Burden,0,0.0,Building after
47,210_19_a,8,210_19_a_8,20180988,82,6,43,0,0,1,11044.0,0,1,2a6d061a-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.069291923216226,,0,0.0,Building after
48,210_19_a,9,210_19_a_9,20180988,82,2,38,0,0,1,10041.0,0,1,2a6d0642-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.0762135245493476,,0,0.0,Building after
49,210_19_a,10,210_19_a_10,20180988,82,9,37,0,0,1,13911.0,0,1,2a6d0674-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.0550111422615196,,0,0.0,Building after
50,210_19_a,11,210_19_a_11,20180988,82,10,51,0,1,0,5976.0,1,0,2a6d069c-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.1280555555555556,Rent,0,0.0,Building after
51,210_19_a,12,210_19_a_12,20180988,82,12,24,0,0,1,13046.0,1,0,2a6d06ce-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.0586585926720834,Rent,0,0.0,Building after
52,210_19_a,13,210_19_a_13,20180988,82,9,34,0,0,1,12300.0,0,1,2a6d0700-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.0622162601626016,,0,0.0,Building after
53,210_19_a,14,210_19_a_14,20180988,82,12,46,0,0,1,11487.0,0,1,2a6d0728-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.0666196570035692,,0,0.0,Building after
54,210_19_a,15,210_19_a_15,20180988,82,5,52,0,0,1,9359.0,1,0,2a6d075a-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.0817672828293621,Rent,0,0.0,Building after
55,210_19_a,16,210_19_a_16,20180988,82,30,63,0,0,1,12484.0,0,1,2a6d078c-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.0612992630567125,,0,0.0,Building after
56,210_19_a,17,210_19_a_17,20180988,82,26,54,0,0,1,15052.0,0,1,2a6d07b4-9b6a-11eb-ab03-acde48001122,1,1,stay,7.0,320.0,445.26,765.26,0.0508410842412968,,0,0.0,Building after
57,210_19_a,18,210_19_a_18,20180988,82,15,38,0,0,1,13378.0,1,0,2a6d07dc-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.0572028703842128,Rent,0,0.0,Building after
58,210_19_a,19,210_19_a_19,20180988,82,8,47,0,0,1,9438.0,1,0,2a6d080e-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.0810828565374019,Rent,0,0.0,Building after
59,210_19_a,20,210_19_a_20,20180988,82,14,25,0,0,1,14041.0,1,0,2a6d0840-9b6a-11eb-ab03-acde48001122,1,1,Leave,7.0,320.0,445.26,765.26,0.0545018161099636,Rent,0,0.0,Building after
60,210_19_a,21,210_19_a_21,20180988,82,0,64,0,0,1,21519.26315789474,0,1,3cb411f6-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6814.26,0.316658611867947,,6049,,Building after
61,210_19_a,22,210_19_a_22,20180988,82,0,88,0,0,1,20379.26315789474,0,1,3cb41228-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6890.26,0.3381015273523654,,6125,,Building after
62,210_19_a,23,210_19_a_23,20180988,82,0,23,0,0,1,23001.26315789474,0,1,3cb4125a-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6890.26,0.2995600699275097,,6125,,Building after
63,210_19_a,24,210_19_a_24,20180988,82,0,62,0,0,1,21672.1052631579,0,1,3cb4128c-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6847.26,0.3159480778104281,,6082,,Building after
64,210_19_a,25,210_19_a_25,20180988,82,0,68,0,0,1,19145.1052631579,1,0,3cb412b4-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6505.26,0.3397871106260498,,0,,Building after
65,210_19_a,26,210_19_a_26,20180988,82,0,72,0,0,1,21060.68421052632,0,1,3cb412e6-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6821.26,0.3238859636189158,,6056,,Building after
66,210_19_a,27,210_19_a_27,20180988,82,0,25,0,0,1,21372.89473684211,0,1,3cb4130e-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6891.26,0.3224298853688267,,6126,,Building after
67,210_19_a,28,210_19_a_28,20180988,82,0,41,0,0,1,20713.1052631579,1,0,3cb41340-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6505.26,0.314064932193958,,0,,Building after
68,210_19_a,29,210_19_a_29,20180988,82,0,37,0,0,1,21147.31578947368,0,1,3cb41368-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6860.26,0.3244033459515828,,6095,,Building after
69,210_19_a,30,210_19_a_30,20180988,82,0,76,0,0,1,20013.57894736842,0,1,3cb4139a-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6843.26,0.3419308469512805,,6078,,Building after
70,210_19_a,31,210_19_a_31,20180988,82,0,71,0,0,1,19678.1052631579,1,0,3cb413cc-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6505.26,0.3305836569631223,,0,,Building after
71,210_19_a,32,210_19_a_32,20180988,82,0,49,0,0,1,23009.52631578947,0,1,3cb413f4-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6854.26,0.297887922851176,,6089,,Building after
72,210_19_a,33,210_19_a_33,20180988,82,0,72,0,0,1,18639.1052631579,1,0,3cb41426-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6505.26,0.3490113880551077,,0,,Building after
73,210_19_a,34,210_19_a_34,20180988,82,0,28,0,0,1,19715.52631578947,0,1,3cb4144e-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6873.26,0.3486216847528664,,6108,,Building after
74,210_19_a,35,210_19_a_35,20180988,82,0,56,0,0,1,18908.1052631579,0,1,3cb41480-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6866.26,0.363138448006146,,6101,,Building after
75,210_19_a,36,210_19_a_36,20180988,82,0,41,0,0,1,18283.1052631579,1,0,3cb41494-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6505.26,0.3558071731451815,,0,,Building after
76,210_19_a,37,210_19_a_37,20180988,82,0,23,0,0,1,18843.1052631579,1,0,3cb414b2-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6505.26,0.3452329066334468,,0,,Building after
77,210_19_a,38,210_19_a_38,20180988,82,0,71,0,0,1,21220.36842105263,0,1,3cb414d0-9b83-11eb-88c0-acde48001122,1,1,New Comers,7.0,320.0,445.26,6868.26,0.3236635605810703,,6103,,Building after
